Sentence ID,句子开头,句子结尾,新音频时长(s),是否完整,是否带入相邻句,状态
a09-p09-s02,"At the stage in life when you can book your own trip abroad,","rip abroad, you're old enough to not worry about fitting in.",9.038,待人工听音,待人工听音,needsReview
a09-p09-s03,"(This is, of course, distinct from respecting local customs ",m respecting local customs on religious and cultural dress.),9.509,待人工听音,待人工听音,needsReview
a09-p09-s04,One of the delicious freedoms in traveling is that no one kn,st and sweat after a half day of hiking around temple ruins.,18.939,待人工听音,待人工听音,needsReview
a09-p09-s05,You can wear a fanny pack or shoes that you don't mind muddy, wear a fanny pack or shoes that you don't mind muddying up.,7.340,待人工听音,待人工听音,needsReview
a09-p09-s06,You can ask a stranger for directions.,You can ask a stranger for directions.,4.075,待人工听音,待人工听音,needsReview
a09-p10-s01,"Now that I think about it, acting like a tourist in your hom",—seems like a better way to approach your everyday life too.,14.864,待人工听音,待人工听音,needsReview
a09-p10-s02,Taking a bus tour through town will give you a completely di,rough town will give you a completely different perspective.,7.993,待人工听音,待人工听音,needsReview
a09-p10-s03,Actually visiting a museum—instead of meaning to—is way more,g than sitting on your couch cruising Twitter and Instagram.,12.904,待人工听音,待人工听音,needsReview
a09-p10-s04,I've never been to the Statue of Liberty in New York or the ,the Emily Dickinson house in my home state of Massachusetts.,8.620,待人工听音,待人工听音,needsReview
a09-p10-s05,It's been years since I've visited the Cloisters in Upper Ma,r Manhattan and many months since I've hiked through the Mt.,12.121,待人工听音,待人工听音,needsReview
a09-p10-s06,Holyoke range 15 minutes from the house where I grew up.,Holyoke range 15 minutes from the house where I grew up.,4.807,待人工听音,待人工听音,needsReview
a09-p10-s07,That urgent tourist energy to see and do all sorts of things,ior to the apathy of knowing something will always be there.,12.382,待人工听音,待人工听音,needsReview
a09-p10-s08,"Maybe it's best not just to travel like a tourist, but to li","not just to travel like a tourist, but to live like one too.",7.079,待人工听音,待人工听音,needsReview
a10-p01-s01,"The face of the water, in time, became a wonderful book—a bo",ished secrets as clearly as if it uttered them with a voice.,20.480,待人工听音,待人工听音,needsReview
a10-p01-s02,"And it was not a book to be read once and thrown aside, for "," and thrown aside, for it had a new story to tell every day.",8.856,待人工听音,待人工听音,needsReview
a10-p01-s03,Throughout the long twelve hundred miles there was never a p,hinking you could find higher enjoyment in some other thing.,22.387,待人工听音,待人工听音,needsReview
a10-p01-s04,There never was so wonderful a book written by man; never on," so unflagging, so sparkingly renewed with every re-perusal.",11.076,待人工听音,待人工听音,needsReview
a10-p01-s05,The passenger who could not read it was charmed with a pecul,tear the life out of the strongest vessel that ever floated.,41.352,待人工听音,待人工听音,needsReview
a10-p01-s06,It is the faintest and simplest expression the water ever ma,"the water ever makes, and the most hideous to a pilot's eye.",8.934,待人工听音,待人工听音,needsReview
a10-p01-s07,"In truth, the passenger who could not read this book saw not","l, but the grimmest and most dead-earnest of reading matter.",21.995,待人工听音,待人工听音,needsReview
a10-p02-s01,Now when I had mastered the language of this water and had c," letters of the alphabet, I had made a valuable acquisition.",20.480,待人工听音,待人工听音,needsReview
a10-p02-s02,"But I had lost something, too.","But I had lost something, too.",1.411,待人工听音,待人工听音,needsReview
a10-p02-s03,I had lost something which could never be restored to me whi,something which could never be restored to me while I lived.,7.367,待人工听音,待人工听音,needsReview
a10-p02-s04,"All the grace, the beauty, the poetry had gone out of the ma",", the beauty, the poetry had gone out of the majestic river!",5.172,待人工听音,待人工听音,needsReview
a10-p02-s05,I still keep in mind a certain wonderful sunset which I witn,ul sunset which I witnessed when steamboating was new to me.,10.371,待人工听音,待人工听音,needsReview
a10-p02-s06,A broad expanse of the river was turned to blood; in the mid, in the unobstructed splendor that was flowing from the sun.,67.370,待人工听音,待人工听音,needsReview
a10-p02-s07,"There were graceful curves, reflected images, woody heights,","hing it, every passing moment, with new marvels of coloring.",18.599,待人工听音,待人工听音,needsReview
a10-p03-s01,I stood like one bewitched.,I stood like one bewitched.,3.944,待人工听音,待人工听音,needsReview
a10-p03-s02,"I drank it in, in a speechless rapture.","I drank it in, in a speechless rapture.",3.422,待人工听音,待人工听音,needsReview
a10-p03-s03,"The world was new to me, and I had never seen anything like "," new to me, and I had never seen anything like this at home.",6.504,待人工听音,待人工听音,needsReview
a10-p03-s04,"But as I have said, a day came when I began to cease from no",ace; another day came when I ceased altogether to note them.,19.304,待人工听音,待人工听音,needsReview
a10-p03-s05,"Then, if that sunset scene had been repeated, I should have ",this blind place at night without the friendly old landmark.,83.096,待人工听音,待人工听音,needsReview
a10-p04-s01,"No, the romance and the beauty were all gone from the river.","No, the romance and the beauty were all gone from the river.",5.590,待人工听音,待人工听音,needsReview
a10-p04-s02,All the value any feature of it had for me now was the amoun, furnish toward compassing the safe piloting of a steamboat.,13.453,待人工听音,待人工听音,needsReview
a10-p04-s03,"Since those days, I have pitied doctors from my heart.","Since those days, I have pitied doctors from my heart.",4.023,待人工听音,待人工听音,needsReview
a10-p04-s04,What does the lovely flush in a beauty's cheek mean to a doc,"doctor but a ""break"" that ripples above some deadly disease?",11.546,待人工听音,待人工听音,needsReview
a10-p04-s05,Are not all her visible charms sown thick with what are to h, with what are to him the signs and symbols of hidden decay?,8.150,待人工听音,待人工听音,needsReview
a10-p04-s06,"Does he ever see her beauty at all, or doesn't he simply vie",", and comment upon her unwholesome condition all to himself?",12.382,待人工听音,待人工听音,needsReview
a10-p04-s07,And doesn't he sometimes wonder whether he has gained most o,ether he has gained most or lost most by learning his trade?,8.882,待人工听音,待人工听音,needsReview
